"","x"
"119",-85.4621354425089
"120",-91.2146692131939
"121",-93.8005587427489
"122",-97.1001608989401
"123",-100.200786855895
"124",-97.5292872238456
"125",-90.5685499088431
"126",-82.9994228709619
"127",-74.490625115938
"128",-66.410958811932
"129",-61.3507218342782
"130",-58.0141761547757
"131",-59.36585267813
"132",-65.2026450463783
"133",-73.4444135672939
"134",-80.5456390582717
"135",-83.5533851149749
"136",-87.5570129002201
"137",-95.2989377822829
"138",-105.056247645088
"139",-114.559552267803
"140",-123.738739007902
"141",-132.143063228011
"142",-141.174783482303
"143",-147.521948570654
"144",-153.570342671525
"145",-161.04895828126
"146",-163.185898870786
"147",-162.508978074574
"148",-164.463666408486
"149",-167.177505077105
"150",-169.852080538054
"151",-170.845594140666
"152",-169.607411457698
"153",-168.105034592966
"154",-167.078238116731
"155",-166.054564392549
"156",-166.25809827458
"157",-168.88680185575
"158",-171.120108641246
"159",-173.162015528945
"160",-171.864529576059
"161",-169.127438188803
"162",-170.956839454571
"163",-172.294816681804
"164",-168.80704870983
"165",-162.140882958293
"166",-155.353514472533
"167",-152.696265194449
"168",-153.383083535264
"169",-159.793475084189
"170",-166.70093588362
"171",-169.074962629351
"172",-167.733157523583
"173",-165.758066501749
"174",-165.057383739544
"175",-164.433359923254
"176",-166.912296722564
"177",-168.411876476423
"178",-168.844410927729
"179",-168.325520516967
"180",-169.199738551808
"181",-168.761705783435
"182",-166.64129470665
"183",-165.921451627612
"184",-165.06110104855
"185",-164.590965524126
"186",-163.371258137544
"187",-163.026106703552
"188",-163.523433704897
"189",-165.908411375178
"190",-169.84879357175
"191",-172.567386512382
"192",-177.645897297574
"193",-185.055965185341
"194",-190.622694559763
"195",-194.430488708588
"196",-196.716480143743
"197",-198.052018244627
"198",-197.975937167247
"199",-197.875004121365
"200",-197.646628630691
"201",-199.315440343806
"202",-202.561854875948
"203",-202.123313769497
"204",-199.382638513095
"205",-194.937699682561
"206",-187.751742611872
"207",-178.908481351816
"208",-174.385414303218
"209",-170.029505962464
"210",-162.816624871607
"211",-155.321870700327
"212",-147.229684799953
"213",-141.17484434477
"214",-138.657044066856
"215",-134.800214855958
"216",-131.146918306498
"217",-128.62282797951
"218",-123.990534650628
"219",-118.424625275052
"220",-114.190820450545
"221",-114.924571813781
"222",-115.978288405766
"223",-115.67390557271
"224",-114.247788105968
"225",-109.827160574888
"226",-106.9511855107
"227",-106.864907211595
"228",-108.04751868373
"229",-108.696009975011
"230",-104.311417620249
"231",-96.8285256948125
"232",-88.7276048050467
"233",-85.4659361316522
"234",-86.2756522156078
"235",-87.319113722984
"236",-86.4120003260354
"237",-86.972080059691
"238",-87.968853614017
"239",-87.6019291517354
"240",-87.4745210674342
"241",-86.9008419310339
"242",-86.8046410292748
"243",-87.8772521314713
"244",-89.4137787266016
"245",-88.8808711929322
"246",-85.1538334891567
"247",-81.4414413590974
"248",-77.9381298285542
"249",-76.479181912366
"250",-78.3431847244435
"251",-79.6101491280547
"252",-82.7349153161369
"253",-88.6099773808852
"254",-94.6537235976865
"255",-100.169988570694
"256",-106.16188776628
"257",-113.370382781013
"258",-117.966376692583
"259",-118.232180172897
"260",-113.921903226154
"261",-109.65365928578
"262",-105.959531302272
"263",-99.7428435026821
"264",-91.6930075086069
"265",-84.6130783604973
"266",-81.0209744670676
"267",-80.8004080008008
"268",-81.679302952229
"269",-81.1112142262342
"270",-82.1946374629074
"271",-84.1822591415403
"272",-84.6716243474229
"273",-87.8860416923036
"274",-92.9630847666534
"275",-96.5229577919407
"276",-94.9383913792322
"277",-92.0564437579523
"278",-89.4788406115106
"279",-85.4837313685358
"280",-84.6064663824567
"281",-84.5864660672825
"282",-82.3859657279428
"283",-81.2921933711258
"284",-83.1797119585912
"285",-87.9701964386888
"286",-94.6458717370342
"287",-99.976245622888
"288",-98.3241297281943
"289",-91.8672706071617
"290",-88.4029922688304
"291",-88.0042183738284
"292",-86.8065265992618
"293",-86.8103322619738
"294",-86.360979618657
"295",-88.262668400518
"296",-91.3773972535344
"297",-92.9963141371242
"298",-96.1132901762656
"299",-101.871103221575
"300",-110.440665988716
"301",-118.177164032246
"302",-123.037181053221
"303",-128.664189796212
"304",-137.244062249684
"305",-142.501121404754
"306",-141.737454465835
"307",-138.386791243187
"308",-134.598751837249
"309",-131.844806046636
"310",-126.929692008744
"311",-125.013951140502
"312",-124.905566805706
"313",-124.446317245723
"314",-122.8471829039
"315",-120.709368225683
"316",-117.033269954261
"317",-112.016773393366
"318",-106.594573453559
"319",-100.489080162903
"320",-92.6247624967648
"321",-87.883580948051
"322",-86.6117624060925
"323",-85.7550002755664
"324",-85.7358406490949
"325",-87.2306494837278
"326",-92.8139842768408
"327",-102.399729117318
"328",-111.970013560911
"329",-118.573412390245
"330",-119.604685635183
"331",-119.186780470287
"332",-120.521301626331
"333",-122.355954847955
"334",-119.355550111717
"335",-117.061628458531
"336",-116.155657083079
"337",-112.834776675719
"338",-108.799144488089
"339",-106.860912608585
"340",-106.658677687966
"341",-106.041780542709
"342",-105.474002539231
"343",-103.763298329876
"344",-103.99026397193
"345",-105.017955662998
"346",-108.586047285757
"347",-112.208051335756
"348",-118.187185894319
"349",-124.937185731039
"350",-131.247676000136
"351",-136.995307418974
"352",-138.920071536081
"353",-139.165244752716
"354",-140.538980699822
"355",-139.653441211098
"356",-137.911691736424
"357",-135.806918775206
"358",-132.662902101274
"359",-130.934480852175
"360",-133.842199015599
"361",-137.161871032209
"362",-141.397144459682
"363",-144.925502929821
"364",-147.90855002155
"365",-148.279943151681
"366",-147.411677540727
"367",-146.52876957577
"368",-147.548399113564
"369",-149.679835935775
"370",-151.958459543004
"371",-150.781329649754
"372",-150.376399127805
"373",-154.256020406575
"374",-162.710427569272
"375",-172.309314021368
"376",-182.030903327557
"377",-191.577516592019
"378",-200.522295174337
"379",-206.396993172682
"380",-211.2545958933
"381",-214.965589930852
"382",-215.949477664486
"383",-214.625553961393
"384",-213.020779799173
"385",-210.220832374034
"386",-208.991637191439
"387",-208.524369182991
"388",-205.339935656821
"389",-201.778032340702
"390",-197.826520437398
"391",-194.438635453124
"392",-191.71503845979
"393",-191.188531616493
"394",-189.103538448127
"395",-181.536860112438
"396",-171.39759561966
"397",-160.552999296371
"398",-155.247915772368
"399",-155.837672336998
"400",-154.958219443482
"401",-157.761926092569
"402",-163.624834612372
"403",-171.917813410982
"404",-179.961026945683
"405",-186.885565907421
"406",-193.260527074519
"407",-202.318237706509
"408",-209.775210238136
"409",-214.249939601741
"410",-215.452089089698
"411",-213.257299975391
"412",-208.841506397874
"413",-205.910715631299
"414",-207.297310577824
"415",-212.032120622493
"416",-215.095581060362
"417",-211.182465352727
"418",-203.530431142383
"419",-197.079495955952
"420",-191.21153193904
"421",-191.319968296916
"422",-191.951398508376
"423",-190.750654425051
"424",-189.130503169915
"425",-186.062802252777
"426",-179.577964223208
"427",-170.544607719924
"428",-164.578905884723
"429",-160.876117727136
"430",-157.360562220578
"431",-157.090919642216
"432",-158.317461473842
"433",-157.809363360181
"434",-156.582792285114
"435",-156.101991431372
"436",-157.491192296207
"437",-159.787242451926
"438",-161.285021583669
"439",-162.024359655674
"440",-162.3229072367
"441",-164.840747488623
"442",-165.797396744441
"443",-165.229466109705
"444",-164.678182523408
"445",-163.766979141812
"446",-160.803637307647
"447",-154.835973359213
"448",-151.173585072371
"449",-150.950231115248
"450",-150.775761360469
"451",-151.446111247992
"452",-153.672770095926
"453",-153.537236954646
"454",-151.273597251921
"455",-150.128253880553
"456",-154.285185860251
"457",-163.188172792566
"458",-171.090823864006
"459",-175.178879274237
"460",-174.980782619555
"461",-176.46463922337
"462",-181.731072014537
"463",-187.354912494941
"464",-191.01504280969
"465",-194.512662203792
"466",-197.586935607831
"467",-201.26179458202
"468",-204.39311354423
"469",-203.546703046553
"470",-202.729208126542
"471",-203.338544248493
"472",-205.184462334005
"473",-206.551344062123
"474",-204.117405079589
"475",-201.143278881922
"476",-198.699326961059
"477",-194.637118138152
"478",-192.98141044706
"479",-191.494557035736
"480",-190.263935070277
"481",-188.497289470128
"482",-187.7963183955
"483",-188.549681503574
"484",-190.641139708419
"485",-191.187626025622
"486",-191.779336981119
"487",-193.206914369561
"488",-194.498428756898
"489",-195.206872216206
"490",-196.266065649445
"491",-194.213896378127
"492",-190.816147936665
"493",-189.988991442777
"494",-190.54084449167
"495",-188.325792968386
"496",-185.10277608792
"497",-179.864692640682
"498",-173.421550288411
"499",-168.943225697752
"500",-51.2235
"501",-166.027146357378
"502",-165.031745907037
"503",-166.281682425254
"504",-168.449596209459
"505",-169.483853345646
"506",-168.444768231013
"507",-167.875893229538
"508",-167.213059737083
"509",-163.592904129876
"510",-157.131439246547
"511",-153.342510097785
"512",-153.650016484225
"513",-157.639735101331
"514",-159.894701837084
"515",-159.794956564551
"516",-158.415344249995
"517",-160.219813452287
"518",-164.672813028693
"519",-166.72109205738
"520",-168.225184757033
"521",-171.041025978092
"522",-172.920154892028
"523",-173.72647837232
"524",-172.828546102306
"525",-169.853219959435
"526",-168.026606067971
"527",-165.093551678101
"528",-163.425021378335
"529",-165.87575344245
"530",-171.112001253041
"531",-174.557123710239
"532",-177.224201395803
"533",-177.596093622811
"534",-176.409290335289
"535",-175.798056459151
"536",-176.204923656278
"537",-174.223224580165
"538",-174.673602043407
"539",-176.350193834789
"540",-182.622700194778
"541",-190.750790796068
"542",-195.966153414407
"543",-197.842629223796
"544",-199.795762069336
"545",-202.518608599547
"546",-209.231591469474
"547",-215.261282351203
"548",-222.0699840972
"549",-225.77297157277
"550",-223.987772302839
"551",-219.792685024342
"552",-211.617688120022
"553",-202.009336692788
"554",-195.14909963789
"555",-190.253133684016
"556",-186.303893460032
"557",-184.152622131757
"558",-183.939273502559
"559",-183.659966136892
"560",-182.792852776596
"561",-182.143452565307
"562",-185.42039294192
"563",-187.196532554622
"564",-188.627357318825
"565",-194.274494471815
"566",-203.831282442354
"567",-211.431021744397
"568",-215.465542537471
"569",-214.932347125771
"570",-211.03284546291
"571",-207.699660480156
"572",-206.884840843175
"573",-203.598634244664
"574",-198.857599680306
"575",-194.049558243587
"576",-191.918306429155
"577",-192.689281791061
"578",-196.198838614323
"579",-199.518930660588
"580",-200.485231230455
"581",-199.447313135919
"582",-195.744467450348
"583",-190.127262831151
"584",-183.884459767246
"585",-182.896214489793
"586",-187.153064983144
"587",-191.718971505901
"588",-193.971817050831
"589",-196.202341094946
"590",-197.21048448787
"591",-197.036709282214
"592",-196.597541127343
"593",-194.986196548801
"594",-192.506878161983
"595",-187.679938359523
"596",-185.184951809808
"597",-188.253845398266
"598",-195.089896434375
"599",-201.545913899909
"600",-204.049930727227
"601",-205.62233223385
"602",-206.403131720093
"603",-204.723856239088
"604",-202.912209713718
"605",-198.84033626084
"606",-191.154140786094
"607",-185.081270346932
"608",-184.173794597057
"609",-186.553125749053
"610",-193.323552618471
"611",-198.185476576283
"612",-200.740264248974
"613",-201.227138749127
"614",-197.065067898986
"615",-195.18105274795
"616",-194.2888163801
"617",-192.177356942116
"618",-190.447398467462
"619",-190.003473667517
"620",-191.833479212856
"621",-192.752133425343
"622",-192.125012441882
"623",-186.630265949944
"624",-178.877738124767
"625",-174.440605232994
"626",-176.733982835524
"627",-182.431655882576
"628",-184.724069426419
"629",-185.962794021424
"630",-187.970333457233
"631",-193.938574858575
"632",-204.555014156159
"633",-209.599928942983
"634",-211.00945548841
"635",-208.305620693162
"636",-202.532506751875
"637",-194.851118219011
"638",-188.071914048603
"639",-181.136038645929
"640",-173.884472852188
"641",-165.814040977339
"642",-159.891846990336
"643",-157.04476597425
"644",-160.704205392778
"645",-165.75447830387
"646",-169.437587780686
"647",-175.053266861736
"648",-179.676613264101
"649",-181.073649114472
"650",-181.231394662643
"651",-180.490649343883
"652",-182.873586874946
"653",-192.360719146853
"654",-204.310772152891
"655",-210.001478754832
"656",-212.0906154632
"657",-213.549645943352
"658",-214.200255674765
"659",-214.173044613589
"660",-215.086922285425
"661",-220.856610354397
"662",-225.508630810859
"663",-225.457753483132
"664",-220.943521105664
"665",-212.491943239098
"666",-205.7680782031
"667",-203.981312283609
"668",-206.067695542074
"669",-206.217693313489
"670",-206.551189263492
"671",-204.585242837991
"672",-202.056674755488
"673",-203.243037371255
"674",-209.805747517698
"675",-215.720862358046
"676",-221.1518360261
"677",-222.821654380653
"678",-219.738365756177
"679",-215.080565222157
"680",-211.01372524151
"681",-211.234294618527
"682",-213.52826121382
"683",-216.905180664833
"684",-219.377668565989
"685",-218.927159764473
"686",-219.679186760265
"687",-221.892199115811
"688",-223.004512888798
"689",-224.74693245065
"690",-224.895664633241
"691",-221.28456535163
"692",-215.451215275139
"693",-212.329541551691
"694",-211.287844684378
"695",-213.735365725872
"696",-217.279231928313
"697",-220.03978732392
"698",-224.473928368508
"699",-227.695461506115
"700",-228.538303233268
"701",-227.480271413633
"702",-227.138354795693
"703",-229.223388006024
"704",-233.256408492057
"705",-234.021069171985
"706",-232.922461509821
"707",-231.549718173268
"708",-227.072657536275
"709",-219.483233734023
"710",-214.628928957049
"711",-212.202570677123
"712",-210.520125931953
"713",-209.712936745635
"714",-206.363055591763
"715",-201.573522119978
"716",-198.942418456551
"717",-198.535306995636
"718",-201.876899927616
"719",-205.027786431158
"720",-209.354580310894
"721",-215.996528519634
"722",-220.961047795615
"723",-223.417262294185
"724",-228.623677024236
"725",-233.428815047463
"726",-234.048106114901
"727",-234.318973361776
"728",-236.713030874536
"729",-242.076179873232
"730",-246.615481699865
"731",-250.194418246468
"732",-252.747271270357
"733",-256.742968099317
"734",-260.003031328818
"735",-261.692237332527
"736",-265.205777662331
"737",-265.20935590383
"738",-263.466387644139
"739",-262.948292000706
"740",-262.621777571722
"741",-261.958962588247
"742",-258.678758212012
"743",-253.845817890356
"744",-247.042997515102
"745",-241.008073796877
"746",-241.734067613192
"747",-247.57771832732
"748",-255.683929795246
"749",-265.785519529231
"750",-276.391584135096
